Gene Systematic Name,Gene Standard Name,WT_1.rpkm,WT_2.rpkm,WT_3.rpkm,r0_1.rpkm,r0_2.rpkm,r0_3.rpkm,log2 (r0/WT),P value (r0/WT),FDR (r0/WT)
YPR204W,-,1.958210509,2.435744096,2.677385411,2.223719571,2.258802276,2.621988952,-0.078414015,0.584582309,0.672326265
YPR204C-A,-,0,0,0,0,0,0,0,1,1
YPR203W,-,0.785565614,0.514281789,0,0.293446898,1.09175003,0,0.03817897,0.970518165,1
YPR202W,-,2.934093046,2.992087143,3.23521921,3.161614068,3.646399419,4.505771104,0.212929233,0.352298787,0.441035034
YPR201W,ARR3,4.461883376,4.446950183,3.965217391,6.045006098,6.802546173,6.284817428,0.483910299,0.002063123,0.004378145
YPR200C,ARR2,6.176584598,5.863204973,4.767341519,11.30554576,10.30078654,7.971348,0.727417811,0.00240626,0.005041756
YPR199C,ARR1,32.36530329,32.05195874,35.48533529,32.2741851,33.63977909,31.19465443,-0.122406508,0.08758545,0.131479653
YPR198W,SGE1,49.87667756,47.7128711,47.23273656,62.33912539,65.88882015,61.48625647,0.304353233,1.29E-06,4.72E-06
YPR197C,-,33.57039437,32.96600977,34.01017576,44.69445998,44.8604733,46.51896369,0.350246567,0.000133894,0.000347587
YPR196W,-,8.589517859,10.74040937,8.20825256,11.74348318,13.72800329,12.26324616,0.366561696,0.002616852,0.005447761
YPR195C,-,15.44707657,18.05830372,15.41027668,28.57639246,31.69052586,30.25941817,0.799373906,4.81E-06,1.59E-05
YPR194C,OPT2,36.98540733,36.92285517,38.68119243,32.84132015,27.56824256,32.89287551,-0.359310356,2.47E-06,8.62E-06
YPR193C,HPA2,4.810130001,4.386135765,5.493215175,14.63122495,13.96675118,13.51035594,1.43628693,5.45E-08,2.60E-07
YPR192W,AQY1,6.257997097,7.876410467,7.094629155,13.6308961,12.31073032,13.54363937,0.805232986,1.75E-06,6.26E-06
YPR191W,QCR2,253.8498156,250.9304888,247.1007423,167.3434615,171.2656971,187.5717321,-0.60184755,2.82E-12,3.53E-11
YPR190C,RPC82,91.57816098,91.95122834,92.03239295,65.5260203,68.71483021,63.92024677,-0.560255553,2.31E-12,2.97E-11
YPR189W,SKI3,31.58233248,30.21898975,31.71067083,33.17792949,31.87921515,29.23963318,-0.072103288,0.114650329,0.16683648
YPR188C,MLC2,69.56566714,69.76671485,75.25450688,76.11547312,76.79529477,80.58686512,0.036706952,0.551971662,0.641939743
YPR187W,RPO26,426.6964131,427.1637724,429.1204013,396.4128999,383.4841963,362.7250768,-0.252181108,1.18E-06,4.34E-06
YPR186C,PZF1,32.80436749,32.33696247,32.85136501,31.84171817,30.53155127,26.94095485,-0.216452269,0.002351656,0.004933148
YPR185W,ATG13,26.56962201,29.67524227,29.94034241,31.90192663,32.75360889,32.94181134,0.09465739,0.076981215,0.117413618
YPR184W,GDB1,11.6166942,10.32193999,11.70603377,18.56371424,18.76609623,18.93843438,0.657520091,5.59E-11,5.18E-10
YPR183W,DPM1,278.2651232,273.2553769,280.8572355,290.8595285,279.7619635,303.6789868,-0.015419723,0.681679562,0.759460825
YPR182W,SMX3,74.71300856,78.84767401,71.10044976,79.90525302,74.96683537,78.01842324,-0.036961253,0.650594129,0.730905528
YPR181C,SEC23,237.4437617,237.1985981,229.7144795,221.3226875,217.5524889,220.4511145,-0.181294068,4.50E-06,1.50E-05
YPR180W,AOS1,42.47171026,45.96910724,43.41229385,49.50651546,47.74288761,49.51169167,0.067363321,0.221994547,0.297691597
YPR179C,HDA3,21.46174837,21.60022711,21.30699894,24.83428572,23.27000283,23.72835473,0.071737348,0.199346232,0.270116229
YPR178W,PRP4,23.26690258,26.48551212,24.56988244,25.42534754,22.01949698,23.17902499,-0.161230906,0.029447577,0.049631843
YPR177C,-,25.01350725,25.41754792,25.90182328,27.05627729,23.57827887,27.6325332,-0.053458707,0.643766209,0.724605592
YPR176C,BET2,48.06810126,46.71524377,43.33155507,55.72160529,54.24172483,54.05417538,0.160275857,0.008725014,0.016443916
YPR175W,DPB2,24.93848249,24.68142651,23.44650283,19.36154127,19.55656575,19.95797374,-0.39891887,4.59E-07,1.82E-06
YPR174C,-,36.81188776,31.25767647,32.01645123,31.31422078,28.3658296,34.54363009,-0.179040953,0.062235767,0.09729971
YPR173C,VPS4,116.8131285,118.0358896,117.1911852,137.7378102,131.9621691,127.1781482,0.08759611,0.029006374,0.048992515
YPR172W,-,68.97083704,66.27966466,64.65671641,73.08141701,79.02287684,77.44179454,0.113161093,0.063637598,0.099273538
YPR171W,BSP1,31.83242568,33.50853353,31.9038505,31.27269186,28.79467052,28.78691038,-0.216533141,0.00053219,0.001253681
YPR170W-B,-,379.7905261,393.587029,395.9453993,383.7875965,373.9624695,398.0431217,-0.103223925,0.022716747,0.039243524
