ENSG00000000419	DPM1	H. sapiens	S000006148	ALG5	S. cerevisiae	least diverged horizontal gene transfer
ENSG00000000419	DPM1	H. sapiens	S000006387	DPM1	S. cerevisiae	homologue
ENSG00000000419	DPM1	H. sapiens	S000006387	DPM1	S. cerevisiae	least diverged orthologue
ENSG00000001630	CYP51A1	H. sapiens	S000001049	ERG11	S. cerevisiae	homologue
ENSG00000001630	CYP51A1	H. sapiens	S000001049	ERG11	S. cerevisiae	least diverged orthologue
ENSG00000001630	CYP51A1	H. sapiens	S000001049	ERG11	S. cerevisiae	orthologue
ENSG00000001630	CYP51A1	H. sapiens	S000001049	ERG11	S. cerevisiae	orthologue
ENSG00000004059	ARF5	H. sapiens	S000002296	ARF2	S. cerevisiae	homologue
ENSG00000004059	ARF5	H. sapiens	S000002296	ARF2	S. cerevisiae	orthologue
ENSG00000004059	ARF5	H. sapiens	S000002351	ARF1	S. cerevisiae	homologue
ENSG00000004059	ARF5	H. sapiens	S000002351	ARF1	S. cerevisiae	orthologue
ENSG00000004864	SLC25A13	H. sapiens	S000006225	AGC1	S. cerevisiae	homologue
ENSG00000004864	SLC25A13	H. sapiens	S000006225	AGC1	S. cerevisiae	orthologue
ENSG00000004864	SLC25A13	H. sapiens	S000006225	AGC1	S. cerevisiae	orthologue
ENSG00000004864	SLC25A13	H. sapiens	S000006332	ANT1	S. cerevisiae	orthologue
ENSG00000004961	HCCS	H. sapiens	S000000037	CYC3	S. cerevisiae	homologue
ENSG00000004961	HCCS	H. sapiens	S000000037	CYC3	S. cerevisiae	orthologue
ENSG00000004961	HCCS	H. sapiens	S000001570	CYT2	S. cerevisiae	least diverged orthologue
ENSG00000004961	HCCS	H. sapiens	S000001570	CYT2	S. cerevisiae	orthologue
ENSG00000004961	HCCS	H. sapiens	S000001570	CYT2	S. cerevisiae	orthologue
ENSG00000005007	UPF1	H. sapiens	S000000978	ECM32	S. cerevisiae	orthologue
ENSG00000005007	UPF1	H. sapiens	S000004685	NAM7	S. cerevisiae	homologue
ENSG00000005007	UPF1	H. sapiens	S000004685	NAM7	S. cerevisiae	least diverged orthologue
ENSG00000005007	UPF1	H. sapiens	S000004685	NAM7	S. cerevisiae	orthologue
ENSG00000005007	UPF1	H. sapiens	S000004685	NAM7	S. cerevisiae	orthologue
ENSG00000005194	CIAPIN1	H. sapiens	S000001779	DRE2	S. cerevisiae	homologue
ENSG00000005194	CIAPIN1	H. sapiens	S000001779	DRE2	S. cerevisiae	least diverged orthologue
ENSG00000005194	CIAPIN1	H. sapiens	S000001779	DRE2	S. cerevisiae	orthologue
ENSG00000006634	DBF4	H. sapiens	S000002459	DBF4	S. cerevisiae	least diverged orthologue
ENSG00000006695	COX10	H. sapiens	S000006093	COX10	S. cerevisiae	homologue
ENSG00000006695	COX10	H. sapiens	S000006093	COX10	S. cerevisiae	least diverged orthologue
ENSG00000006695	COX10	H. sapiens	S000006093	COX10	S. cerevisiae	orthologue
ENSG00000008952	SEC62	H. sapiens	S000006015	SEC62	S. cerevisiae	homologue
ENSG00000008952	SEC62	H. sapiens	S000006015	SEC62	S. cerevisiae	least diverged orthologue
ENSG00000008952	SEC62	H. sapiens	S000006015	SEC62	S. cerevisiae	orthologue
ENSG00000011376	LARS2	H. sapiens	S000003403	MSM1	S. cerevisiae	horizontal gene transfer
ENSG00000011376	LARS2	H. sapiens	S000004374	NAM2	S. cerevisiae	homologue
ENSG00000011376	LARS2	H. sapiens	S000004374	NAM2	S. cerevisiae	least diverged orthologue
ENSG00000011376	LARS2	H. sapiens	S000004374	NAM2	S. cerevisiae	orthologue
ENSG00000011376	LARS2	H. sapiens	S000004374	NAM2	S. cerevisiae	orthologue
ENSG00000013275	PSMC4	H. sapiens	S000002802	RPT3	S. cerevisiae	homologue
ENSG00000013275	PSMC4	H. sapiens	S000002802	RPT3	S. cerevisiae	least diverged orthologue
ENSG00000013275	PSMC4	H. sapiens	S000002802	RPT3	S. cerevisiae	orthologue
ENSG00000013275	PSMC4	H. sapiens	S000002802	RPT3	S. cerevisiae	orthologue
ENSG00000013375	PGM3	H. sapiens	S000000784	PCM1	S. cerevisiae	homologue
ENSG00000013375	PGM3	H. sapiens	S000000784	PCM1	S. cerevisiae	least diverged orthologue
ENSG00000013375	PGM3	H. sapiens	S000000784	PCM1	S. cerevisiae	orthologue
ENSG00000013375	PGM3	H. sapiens	S000004891	PRM15	S. cerevisiae	horizontal gene transfer
ENSG00000015285	WAS	H. sapiens	S000005707	LAS17	S. cerevisiae	homologue
ENSG00000015285	WAS	H. sapiens	S000005707	LAS17	S. cerevisiae	least diverged orthologue
ENSG00000015285	WAS	H. sapiens	S000005707	LAS17	S. cerevisiae	orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000002445	ENA5	S. cerevisiae	orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000002446	ENA2	S. cerevisiae	orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000002447	ENA1	S. cerevisiae	orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000002976	PMA1	S. cerevisiae	orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000003135	PMR1	S. cerevisiae	homologue
ENSG00000017260	ATP2C1	H. sapiens	S000003135	PMR1	S. cerevisiae	least diverged orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000003135	PMR1	S. cerevisiae	orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000003135	PMR1	S. cerevisiae	orthologue
ENSG00000017260	ATP2C1	H. sapiens	S000005957	PMA2	S. cerevisiae	orthologue
